Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/1/2020,ID-JK,DKI Jakarta,2,0,0,2,489,20,39,430,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,45.09,0.00,1.84,4.09%,7.98%,,
3/1/2020,ID-JB,Jawa Barat,3,0,0,3,12,5,5,2,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.07,0.27,0.00,0.11,41.67%,41.67%,,
3/2/2020,ID-JK,DKI Jakarta,2,0,0,2,491,20,39,432,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,45.27,0.00,1.84,4.07%,7.94%,1.00,1.00
3/2/2020,IDN,Indonesia,2,0,0,2,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.01,0.00,0.00,0.00%,0.00%,,
3/2/2020,ID-JB,Jawa Barat,0,0,0,0,12,5,5,2,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.27,0.00,0.11,41.67%,41.67%,0.00,1.00
3/3/2020,ID-JK,DKI Jakarta,2,0,0,2,493,20,39,434,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,45.45,0.00,1.84,4.06%,7.91%,1.00,1.00
3/3/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.00,0.01,0.00,0.00,0.00%,0.00%,0.00,1.00
3/3/2020,ID-JB,Jawa Barat,1,1,0,0,13,6,5,2,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.29,0.02,0.13,46.15%,38.46%,,
3/4/2020,ID-JK,DKI Jakarta,2,0,0,2,495,20,39,436,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,45.64,0.00,1.84,4.04%,7.88%,1.00,1.00
3/4/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.00,0.01,0.00,0.00,0.00%,0.00%,1.00,1.00
3/4/2020,ID-JB,Jawa Barat,1,0,0,1,14,6,5,3,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.31,0.00,0.13,42.86%,35.71%,1.00,0.00
3/5/2020,ID-JK,DKI Jakarta,0,1,0,-1,495,21,39,435,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,45.64,0.09,1.94,4.24%,7.88%,0.00,
3/5/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.00,0.01,0.00,0.00,0.00%,0.00%,1.00,1.00
3/5/2020,ID-JB,Jawa Barat,0,0,0,0,14,6,5,3,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.31,0.00,0.13,42.86%,35.71%,0.00,1.00
3/6/2020,ID-BT,Banten,1,0,0,1,59,1,0,58,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,5.50,0.00,0.09,1.69%,0.00%,,
3/6/2020,ID-JK,DKI Jakarta,0,0,0,0,495,21,39,435,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,45.64,0.00,1.94,4.24%,7.88%,1.00,0.00
3/6/2020,IDN,Indonesia,2,0,0,2,4,0,0,4,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0.00,0.00,0.00%,0.00%,,1.00
3/6/2020,ID-JB,Jawa Barat,1,0,0,1,15,6,5,4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.33,0.00,0.13,40.00%,33.33%,,1.00
3/7/2020,ID-BT,Banten,0,0,0,0,59,1,0,58,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,5.50,0.00,0.09,1.69%,0.00%,0.00,1.00
3/7/2020,ID-JK,DKI Jakarta,0,2,0,-2,495,23,39,433,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,45.64,0.18,2.12,4.65%,7.88%,1.00,
3/7/2020,IDN,Indonesia,0,0,0,0,4,0,0,4,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.00,0.02,0.00,0.00,0.00%,0.00%,0.00,1.00
3/7/2020,ID-JB,Jawa Barat,0,0,0,0,15,6,5,4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.33,0.00,0.13,40.00%,33.33%,0.00,1.00
3/8/2020,ID-BT,Banten,1,0,0,1,60,1,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,5.60,0.00,0.09,1.67%,0.00%,,1.00
3/8/2020,ID-JK,DKI Jakarta,0,0,0,0,495,23,39,433,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,45.64,0.00,2.12,4.65%,7.88%,1.00,0.00
3/8/2020,IDN,Indonesia,2,0,0,2,6,0,0,6,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0.00,0.00,0.00%,0.00%,,1.00
3/8/2020,ID-JB,Jawa Barat,0,0,0,0,15,6,5,4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.33,0.00,0.13,40.00%,33.33%,1.00,1.00
3/9/2020,ID-BT,Banten,0,0,0,0,60,1,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,5.60,0.00,0.09,1.67%,0.00%,0.00,1.00
3/9/2020,ID-JK,DKI Jakarta,0,1,0,-1,495,24,39,432,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,45.64,0.09,2.21,4.85%,7.88%,1.00,
3/9/2020,IDN,Indonesia,13,0,0,13,19,0,0,19,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.05,0.07,0.00,0.00,0.00%,0.00%,6.50,1.00
3/9/2020,ID-JB,Jawa Barat,0,0,0,0,15,6,5,4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.33,0.00,0.13,40.00%,33.33%,1.00,1.00
3/10/2020,ID-BT,Banten,0,0,0,0,60,1,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,5.60,0.00,0.09,1.67%,0.00%,1.00,1.00
3/10/2020,ID-JK,DKI Jakarta,0,0,0,0,495,24,39,432,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,45.64,0.00,2.21,4.85%,7.88%,1.00,0.00
3/10/2020,IDN,Indonesia,8,0,2,6,27,0,2,25,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.03,0.10,0.00,0.00,0.00%,7.41%,0.62,1.00
3/10/2020,ID-JB,Jawa Barat,0,0,0,0,15,6,5,4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.33,0.00,0.13,40.00%,33.33%,1.00,1.00
3/10/2020,ID-SG,Sulawesi Tenggara,1,0,0,1,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.38,0.38,0.00,0.00,0.00%,0.00%,,
3/11/2020,ID-BT,Banten,0,0,0,0,60,1,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,5.60,0.00,0.09,1.67%,0.00%,1.00,1.00
3/11/2020,ID-JK,DKI Jakarta,0,0,0,0,495,24,39,432,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,45.64,0.00,2.21,4.85%,7.88%,1.00,1.00
3/11/2020,IDN,Indonesia,7,1,0,6,34,1,2,31,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.03,0.13,0.00,0.00,2.94%,5.88%,0.88,
3/11/2020,ID-JB,Jawa Barat,1,1,0,0,16,7,5,4,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.35,0.02,0.15,43.75%,31.25%,,
3/11/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,0.38,0.00,0.00,0.00%,0.00%,0.00,1.00
3/12/2020,ID-BT,Banten,0,1,0,-1,60,2,0,58,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,5.60,0.09,0.19,3.33%,0.00%,1.00,
3/12/2020,ID-JK,DKI Jakarta,0,1,4,-5,495,25,43,427,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,45.64,0.09,2.30,5.05%,8.69%,1.00,
3/12/2020,IDN,Indonesia,0,0,0,0,34,1,2,31,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.00,0.13,0.00,0.00,2.94%,5.88%,0.00,0.00
3/12/2020,ID-JB,Jawa Barat,1,0,0,1,17,7,5,5,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.38,0.00,0.15,41.18%,29.41%,1.00,0.00
3/12/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,0.38,0.00,0.00,0.00%,0.00%,1.00,1.00
3/13/2020,ID-BT,Banten,1,0,0,1,61,2,0,59,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,5.69,0.00,0.19,3.28%,0.00%,,0.00
3/13/2020,ID-JK,DKI Jakarta,0,1,3,-4,495,26,46,423,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,45.64,0.09,2.40,5.25%,9.29%,1.00,1.00
3/13/2020,IDN,Indonesia,35,3,0,32,69,4,2,63,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.13,0.26,0.01,0.02,5.80%,2.90%,,
3/13/2020,ID-JB,Jawa Barat,4,0,4,0,21,7,9,5,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.09,0.46,0.00,0.15,33.33%,42.86%,4.00,1.00
3/13/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,0.38,0.00,0.00,0.00%,0.00%,1.00,1.00
3/14/2020,ID-BT,Banten,1,0,0,1,62,2,0,60,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,5.78,0.00,0.19,3.23%,0.00%,1.00,1.00
3/14/2020,ID-JK,DKI Jakarta,1,1,1,-1,496,27,47,422,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.09,45.73,0.09,2.49,5.44%,9.48%,,1.00
3/14/2020,IDN,Indonesia,27,1,6,20,96,5,8,83,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.10,0.36,0.00,0.02,5.21%,8.33%,0.77,0.33
3/14/2020,ID-JB,Jawa Barat,0,0,0,0,21,7,9,5,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.46,0.00,0.15,33.33%,42.86%,0.00,1.00
3/14/2020,ID-KI,Kalimantan Timur,3,0,0,3,6,0,2,4,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.84,1.69,0.00,0.00,0.00%,33.33%,,
3/14/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,0.38,0.00,0.00,0.00%,0.00%,1.00,1.00
3/15/2020,ID-BT,Banten,1,0,0,1,63,2,0,61,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,5.88,0.00,0.19,3.17%,0.00%,1.00,1.00
3/15/2020,ID-JK,DKI Jakarta,6,3,0,3,502,30,47,425,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.55,46.28,0.28,2.77,5.98%,9.36%,6.00,3.00
3/15/2020,IDN,Indonesia,21,0,0,21,117,5,8,104,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.08,0.44,0.00,0.02,4.27%,6.84%,0.78,0.00
3/15/2020,ID-JB,Jawa Barat,0,0,0,0,21,7,9,5,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.46,0.00,0.15,33.33%,42.86%,1.00,1.00
3/15/2020,ID-KI,Kalimantan Timur,2,0,0,2,8,0,2,6,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.56,2.25,0.00,0.00,0.00%,25.00%,0.67,1.00
3/15/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,0.38,0.00,0.00,0.00%,0.00%,1.00,1.00
3/16/2020,ID-BT,Banten,1,0,0,1,64,2,0,62,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,5.97,0.00,0.19,3.13%,0.00%,1.00,1.00
3/16/2020,ID-JK,DKI Jakarta,0,3,0,-3,502,33,47,422,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,46.28,0.28,3.04,6.57%,9.36%,0.00,1.00
3/16/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,16,0,0,16,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.28,4.41,0.00,0.00,0.00%,0.00%,,
3/16/2020,IDN,Indonesia,17,0,0,17,134,5,8,121,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.06,0.51,0.00,0.02,3.73%,5.97%,0.81,1.00
3/16/2020,ID-JB,Jawa Barat,1,0,0,1,22,7,9,6,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.49,0.00,0.15,31.82%,40.91%,,1.00
3/16/2020,ID-KI,Kalimantan Timur,1,0,0,1,9,0,2,7,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.28,2.53,0.00,0.00,0.00%,22.22%,0.50,1.00
3/16/2020,ID-SG,Sulawesi Tenggara,2,0,0,2,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.76,1.14,0.00,0.00,0.00%,0.00%,,1.00
3/17/2020,ID-BT,Banten,0,1,0,-1,64,3,0,61,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,5.97,0.09,0.28,4.69%,0.00%,0.00,
3/17/2020,ID-JK,DKI Jakarta,1,1,0,0,503,34,47,422,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.09,46.38,0.09,3.13,6.76%,9.34%,,0.33
3/17/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,16,0,0,16,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.00,4.41,0.00,0.00,0.00%,0.00%,0.00,1.00
3/17/2020,IDN,Indonesia,38,0,1,37,172,5,9,158,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.14,0.65,0.00,0.02,2.91%,5.23%,2.24,1.00
3/17/2020,ID-JB,Jawa Barat,11,0,0,11,33,7,9,17,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.24,0.73,0.00,0.15,21.21%,27.27%,11.00,1.00
3/17/2020,ID-KI,Kalimantan Timur,1,0,0,1,10,0,2,8,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.28,2.82,0.00,0.00,0.00%,20.00%,1.00,1.00
3/17/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,1.14,0.00,0.00,0.00%,0.00%,0.00,1.00
3/17/2020,ID-SU,Sumatera Utara,1,1,0,0,8,1,0,7,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0.07,0.54,0.07,0.07,12.50%,0.00%,,
3/18/2020,ID-BT,Banten,0,0,0,0,64,3,0,61,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,5.97,0.00,0.28,4.69%,0.00%,1.00,0.00
3/18/2020,ID-JK,DKI Jakarta,0,1,0,-1,503,35,47,421,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,46.38,0.09,3.23,6.96%,9.34%,0.00,1.00
3/18/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,16,0,0,16,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.00,4.41,0.00,0.00,0.00%,0.00%,1.00,1.00
3/18/2020,IDN,Indonesia,55,14,2,39,227,19,11,197,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.21,0.86,0.05,0.07,8.37%,4.85%,1.45,
3/18/2020,ID-JB,Jawa Barat,5,1,1,3,38,8,10,20,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.11,0.84,0.02,0.18,21.05%,26.32%,0.45,
3/18/2020,ID-JT,Jawa Tengah,1,1,0,0,12,8,7,-3,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.33,0.03,0.22,66.67%,58.33%,,
3/18/2020,ID-JI,Jawa Timur,2,0,0,2,51,1,12,38,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.05,1.26,0.00,0.02,1.96%,23.53%,,
3/18/2020,ID-KI,Kalimantan Timur,0,0,0,0,10,0,2,8,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.00,2.82,0.00,0.00,0.00%,20.00%,0.00,1.00
3/18/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,1.14,0.00,0.00,0.00%,0.00%,1.00,1.00
3/18/2020,ID-SU,Sumatera Utara,0,0,0,0,8,1,0,7,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0.00,0.54,0.00,0.07,12.50%,0.00%,0.00,0.00
3/19/2020,ID-BT,Banten,0,1,0,-1,64,4,0,60,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,5.97,0.09,0.37,6.25%,0.00%,1.00,
3/19/2020,ID-JK,DKI Jakarta,1,0,1,0,504,35,48,421,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.09,46.47,0.00,3.23,6.94%,9.52%,,0.00
3/19/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,16,0,0,16,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,0.00,4.41,0.00,0.00,0.00%,0.00%,1.00,1.00
3/19/2020,IDN,Indonesia,82,6,4,72,309,25,15,269,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.31,1.17,0.02,0.09,8.09%,4.85%,1.49,0.43
3/19/2020,ID-JB,Jawa Barat,7,1,0,6,45,9,10,26,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.15,1.00,0.02,0.20,20.00%,22.22%,1.40,1.00
3/19/2020,ID-JT,Jawa Tengah,1,0,0,1,13,8,7,-2,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.36,0.00,0.22,61.54%,53.85%,1.00,0.00
3/19/2020,ID-JI,Jawa Timur,0,0,1,-1,51,1,13,37,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,1.26,0.00,0.02,1.96%,25.49%,0.00,1.00
3/19/2020,ID-KI,Kalimantan Timur,0,0,0,0,10,0,2,8,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,0.00,2.82,0.00,0.00,0.00%,20.00%,1.00,1.00
3/19/2020,ID-SN,Sulawesi Selatan,1,0,0,1,2,1,1,0,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,0.11,0.21,0.00,0.11,50.00%,50.00%,,
3/19/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,0.00,1.14,0.00,0.00,0.00%,0.00%,1.00,1.00
